ID,repeats,experimental_replicate,tetraconazole-ecuatorial,tetraconazole-polar,control-ecuatorial,control-polar
794,3,2,23.91,26.69,63.58,64.94
795,1,2,20.54,18.9,60.38,56.48
795,2,2,20.68,22.68,57.97,54.14
795,3,2,18.06,19.73,57.14,59.42
796,1,2,28.76,28.94,59.63,61.63
796,2,2,27.32,28.33,62.03,59.06
796,3,2,26.95,25.72,59.72,60.19
797,1,2,27.63,27.62,57.43,63.13
797,2,2,25.91,23.92,62.15,60.9
797,3,2,23.95,23.5,61.8,59.87
810,1,2,24.53,25.5,56.73,59.19
810,2,2,22.28,24.09,53.29,59.99
810,3,2,23.19,22.23,60.52,58.99
815,1,2,13.47,12.12,57.1,59.79
815,2,2,14.96,13.9,59.28,66.43
815,3,2,14.33,15.19,61.1,59.86
816,1,2,12.02,11.15,60.38,62.83
816,2,2,11.56,13.41,60.51,63.59
816,3,2,11.63,12.97,60.14,58.69
819,1,2,26.06,25.18,50.41,53.08
819,2,2,24.66,24.78,54.64,56.64
819,3,2,23.64,24.58,64.12,60.8
863,1,2,13.77,11.05,59.5,61.51
863,2,2,11.64,11.51,63.03,63.13
863,3,2,12.27,13.13,61.45,63.66
864,1,2,17.72,16.66,64.76,62.26
864,2,2,15.62,16.71,63,63.62
864,3,2,13.61,14.88,62.07,59.16
865,1,2,0,0,56.1,61.24
865,2,2,0,0,64.21,61.19
865,3,2,0,0,63.04,61.44
866,1,2,15.59,14.89,61.99,65.09
866,2,2,13.35,13.81,65.97,60.07
866,3,2,12.34,12.88,64.6,65.97
868,1,2,10.83,10.53,55.23,57.64
868,2,2,11.29,12.88,61.08,59.76
868,3,2,10.17,11.26,58.09,57.19
869,1,2,25.17,23.03,63.86,61.19
869,2,2,26.24,26.06,64.21,62.31
869,3,2,25.91,26.45,63.27,60.74
872,1,2,26.78,27.45,56.42,55.45
872,2,2,25.18,26.24,52.46,55.55
872,3,2,26.15,27.54,51.25,52.56
873,1,2,14,12.59,55.39,54.71
873,2,2,14.49,11.46,53.37,55.46
873,3,2,8.51,9.99,54.75,52.41
874,1,2,,,,
874,2,2,,,,
874,3,2,,,,
875,1,2,15.28,15.01,64.2,61.57
875,2,2,16.03,17.28,61.16,61.36
875,3,2,19.67,20.62,61.45,64.33
876,1,2,,,,
876,2,2,,,,
876,3,2,,,,
879,1,2,19.2,17.06,60.36,64.45
879,2,2,18.71,17.48,61.73,60
879,3,2,16.76,16.34,63.02,60.6
880,1,2,,,,
880,2,2,,,,
880,3,2,,,,
881,1,2,16.13,14.13,59.12,57.14
881,2,2,16.69,15.14,56.69,60.67
881,3,2,13.46,14.13,63.82,58.22
882,1,2,,,,
882,2,2,,,,
882,3,2,,,,
883,1,2,,,,
883,2,2,,,,
883,3,2,,,,
886,1,2,0,0,58.48,60.39
886,2,2,0,0,61.77,62.33
886,3,2,0,0,56.41,63.12
887,1,2,28.18,28.76,58.26,57.68
887,2,2,27.28,30.29,55.83,59.31
887,3,2,25.54,27.69,59.27,55.44
888,1,2,24.03,25.45,57.25,59.51
888,2,2,24.82,23.64,60.43,59.07
888,3,2,24.64,25.17,59.21,57.24
889,1,2,24.38,23.69,59.2,58.24
889,2,2,24.55,23.31,56.97,59
889,3,2,24.12,23.8,52.49,55.92
890,1,2,25.05,24.93,59.97,62.63
890,2,2,23.07,23.14,58.83,61.18
890,3,2,22.14,23.03,59.96,58.28
893,1,2,24.64,23.23,55.63,59.14
893,2,2,22.02,23.51,51.17,58.81
893,3,2,22,20.53,53.81,59.72
894,1,2,22.98,24.17,52.11,56.35
894,2,2,21.19,23.62,53.92,54.87
894,3,2,24.82,25.14,55.03,52.33
895,1,2,26.25,25.75,57.41,57.59
895,2,2,23.89,23.85,61.68,56.05
895,3,2,21.69,22.99,56.94,52.23
898,1,2,23.23,22.44,57.27,56.31
898,2,2,23.79,21.81,55.02,57.92
898,3,2,22.64,23.56,59.14,57.17
899,1,2,24.37,24.38,58.15,51.96
899,2,2,22.3,24.3,54.77,60.26
899,3,2,22.57,24.51,54.55,58.81
900,1,2,24.67,25.7,56.93,58.19
900,2,2,24.88,23.61,57.47,57.36
900,3,2,23.23,24.49,60.47,56.89
903,1,2,22.46,23.57,50.59,57.34
903,2,2,24.32,23.28,55.1,52.66
903,3,2,24.39,22.81,54.01,49.89
904,1,2,22.24,22.91,56.43,53.99
904,2,2,23.41,22.28,52.07,56.64
904,3,2,23.36,20.31,53.86,53.98
907,1,2,24.46,25.16,58,53.32
907,2,2,24.78,26.7,55.2,57.8
907,3,2,24.16,24.36,59.7,55.04
910,1,2,24.65,24,54.41,57.82
910,2,2,24.09,25.93,59.86,58.2
910,3,2,26.3,25.33,59.09,52.5
